title|author|date|form|genre|published|pages|country|series|gender|favorite|blurb
Death and the Dancing Footman|Ngaio Marsh|5/23/2026|Fiction|Mystery|1941|346|New Zealand|Roderick Alleyn|Female||A country-house party is planned to stir trouble and ends in murder.
Steel Ball Run, Vol 7.|Hirohiko Araki|5/28/2026|Comics|Fantasy|2004|394|Japan|JoJo's Bizarre Adventure|Male||Lucy's heist from the President gets complicated and Johnny and Gyro cross a frozen lake.
Narrow Road to the Interior and Other Writings|Matsuo Bashō|5/31/2026|Poetry|Lit|1702|248|Japan||Male||Travelogs and haiku from the Japanese master.
Colour Scheme|Ngaio Marsh|6/1/2026|Fiction|Mystery|1943|320|New Zealand|Roderick Alleyn|Female||Things boil over at a hot springs resort during the war.
A Garden of Spheres. Book 1|Linnea Sterte|6/4/2026|Comics|Fantasy|2025|336|Sweden|A Garden of Spheres|Female||A god of unmaking wanders through a world of new creators.
She Walks at Night|Seishi Yokomizo|6/10/2026|Fiction|Mystery|1973|256|Japan|Kosuke Kindaichi|Male||A sleepwalker receives cryptic messages... which lead to murder!
Absolute Batman: The Zoo|Scott Snyder|6/10/2026|Comics|Mystery|2025|192|USA|Batman|Male||A re-imagining of Batman.
Stages of Rot|Linnea Sterte|6/11/2026|Comics|SciFi|2017|168|Sweden||Female||An alien desert comes to life around the body of a dying whale.
Seven Games|Oliver Roeder|6/15/2026|Non-Fiction|Philosophy|2023|320|USA||Male||A look into seven games, the communities around them, and how AI affects them.
Gotham by Gaslight|Brian Augustyn|6/23/2026|Comics|Mystery|1991|120|USA|Batman|Male||Batman faces off against Jack the Ripper in a Victorian Era Gotham.
Sunburn|Chloe Michelle Howarth|6/25/2026|Fiction|Lit|2024|275|Ireland||Female||Devastating, beautiful first love between two girls in a small town in Ireland.
Died in the Wool|Ngaio Marsh|6/25/2026|Fiction|Mystery|1945|272|New Zealand|Roderick Alleyn|Female||Witness statements combine to form the mystery during WWII in rural New Zealand.
Absolute Batman: Abomination|Scott Snyder|6/29/2026|Comics|Mystery|2026|224|USA|Batman|Male||Batman faces Bane in a horrific, beautifully re-imagined Gotham.
Harley Quinn: Wild at Heart|Amanda Conner & Jimmy Palmiotti|6/29/2026|Comics|Humor|2014|392|USA|Batman|Female||Harley Quinn moves to Brookyln above a circus side-show in a madcap adventure.
East of West|Jonathan Hickman|7/1/2026|Comics|SciFi|2025|1320|USA||Male||In an alternate near-future of waring American states, Death betrays the other horsemen for love.
Strixhaven: Omens of Chaos|Seanan McGuire|7/4/2026|Fiction|Fantasy|2026|432|USA|Magic the Gathering|Female||Five students from around the Multiverse attend the magical school of Strixhaven.
The Late Monsieur Gallet|Georges Simenon|7/14/2026|Fiction|Mystery|1931|176|Belgium|Inspector Maigret|Male||A seemingly boring man is found dead in a hotel room far from home.
Final Curtain|Ngaio Marsh|7/16/2026|Fiction|Mystery|1947|265|New Zealand|Roderick Alleyn|Female||An over-dramatic family fights—and murders—over the incoherence from their aristocratic actor father.
